Timestamp,Kategori,Jenjang (Untuk Kategori Mahasiswa),Afiliasi Institusi/Lembaga/PT,Riset/Menekuni Bidang AI sejak,Kategori Bidang AI yang Ditekuni,"Detil Kategori (eg. Robotics, Face/Speech Recognition etc.)",Klaster Riset / Aplikasi AI yg Ditekuni,(Estimasi) Jumlah Publikasi di Bidang AI ,Jenis Publikasi di Bidang AI,Jumlah Produk / Startup Bidang AI,Jumlah Paten / Hak Cipta / HKI di Bidang AI,Sumber Pendanaan Aktivitas / Riset (Jika Ada),Catatan/Masukan
3/24/2020 17:53:05,Mahasiswa,S1 - Tugas Akhir,Bandung Institute of Technology,Kurang dari 1 Tahun,"Computer Vision (Facial Recognition, Medical Imaging, Autonomous Navigation, Crop Monitoring, License Plate Recognition, Object Detection/Classification, etc.)",Object Recognition,Infrastruktur dan Kebencanaan,0,Buku,0 (Belum Ada),0 (Belum Ada),Institusi atau Universitas,-
3/24/2020 17:55:40,Mahasiswa,S1 - Tugas Akhir,Bandung Institute of Technology,Kurang dari 1 Tahun,"Computer Vision (Facial Recognition, Medical Imaging, Autonomous Navigation, Crop Monitoring, License Plate Recognition, Object Detection/Classification, etc.)",Face Recognition,"Teknologi Informasi dan Komunikasi, Pertahanan Keamanan",0,,0 (Belum Ada),0 (Belum Ada),Institusi atau Universitas,
3/24/2020 18:19:22,Mahasiswa,S1 - Tugas Akhir,Bandung Institute of Technology,Kurang dari 1 Tahun,"Computer Vision (Facial Recognition, Medical Imaging, Autonomous Navigation, Crop Monitoring, License Plate Recognition, Object Detection/Classification, etc.), Arsitektur AI (GANs, Reinforcement Learning, Federated Learning, Capsule Networks, etc.)","Batik Generator using DCGAN, Fruit Classification","Pangan dan Kesehatan, Seni dan Budaya",2,Paper,0 (Belum Ada),0 (Belum Ada),"Institusi atau Universitas, Perusahaan Dalam Negeri",
3/24/2020 23:45:53,Mahasiswa,S1 - Tugas Akhir,University of Brawijaya,Kurang dari 1 Tahun,"Speech Processing & NLP (Language Translation, Smart Speaker, Chatbot / Conversational Agent, Sentiment Analysis, E-Commerce Search, etc.), Infrastruktur AI (Hardware, Open Source Frameworks, Syntetic Training Data, Cloud, Edge Computing, etc.)",Face recognition,Teknologi Informasi dan Komunikasi,0,,0 (Belum Ada),0 (Belum Ada),Institusi atau Universitas,
3/25/2020 13:23:23,Mahasiswa,S1 - Tugas Akhir,Bandung Institute of Technology,Kurang dari 1 Tahun,"Arsitektur AI (GANs, Reinforcement Learning, Federated Learning, Capsule Networks, etc.)",Image Processing,"Teknologi Informasi dan Komunikasi, Pertahanan Keamanan",1,Jurnal,0 (Belum Ada),0 (Belum Ada),,
3/25/2020 15:29:34,Mahasiswa,,Bandung Institute of Technology,Kurang dari 1 Tahun,"Computer Vision (Facial Recognition, Medical Imaging, Autonomous Navigation, Crop Monitoring, License Plate Recognition, Object Detection/Classification, etc.)",Seeing object in the dark,Photo reconstruction,0,BUKU TA,0 (Belum Ada),0 (Belum Ada),Institusi atau Universitas,
3/26/2020 10:15:05,Mahasiswa,S1 - Tugas Akhir,Bandung Institute of Technology,Kurang dari 1 Tahun,"Computer Vision (Facial Recognition, Medical Imaging, Autonomous Navigation, Crop Monitoring, License Plate Recognition, Object Detection/Classification, etc.)",Object Detection/Classification,Pertahanan Keamanan,0,,0 (Belum Ada),0 (Belum Ada),Institusi atau Universitas,
3/27/2020 17:28:55,Dosen / Peneliti Perguruan Tinggi,,Maranatha Christian University ,Lebih dari 5 Tahun,"Computer Vision (Facial Recognition, Medical Imaging, Autonomous Navigation, Crop Monitoring, License Plate Recognition, Object Detection/Classification, etc.), Speech Processing & NLP (Language Translation, Smart Speaker, Chatbot / Conversational Agent, Sentiment Analysis, E-Commerce Search, etc.)","Question answering system, Course learning system, Building detection",Teknologi Informasi dan Komunikasi,11-20,"Konferensi, Jurnal, Book Chapter",1,3,"Institusi atau Universitas, Institusi/Lembaga/Perusahaan Luar Negeri",
3/27/2020 17:57:47,Dosen / Peneliti Perguruan Tinggi,,Telkom University,Lebih dari 5 Tahun,"Computer Vision (Facial Recognition, Medical Imaging, Autonomous Navigation, Crop Monitoring, License Plate Recognition, Object Detection/Classification, etc.), Arsitektur AI (GANs, Reinforcement Learning, Federated Learning, Capsule Networks, etc.)","Computer Vision, GAN","Teknologi Informasi dan Komunikasi, wide range of application",11-20,"Konferensi, Jurnal, artikel",0 (Belum Ada),1,Institusi atau Universitas,
3/27/2020 18:41:21,Dosen / Peneliti Perguruan Tinggi,,Universitas Padjadjaran,Lebih dari 5 Tahun,"Computer Vision (Facial Recognition, Medical Imaging, Autonomous Navigation, Crop Monitoring, License Plate Recognition, Object Detection/Classification, etc.), Infrastruktur AI (Hardware, Open Source Frameworks, Syntetic Training Data, Cloud, Edge Computing, etc.)",Object Detection,"Teknologi Informasi dan Komunikasi, Rekayasa Transportasi dan Energi, Ilmu Sosial, Politik, Agama",6-10,"Konferensi, Jurnal",3,2,"Institusi atau Universitas, Perusahaan Dalam Negeri, Institusi/Lembaga/Perusahaan Luar Negeri",
3/27/2020 21:05:16,Dosen / Peneliti Perguruan Tinggi,,Universitas Kristen Maranatha,2-5 Tahun,"Computer Vision (Facial Recognition, Medical Imaging, Autonomous Navigation, Crop Monitoring, License Plate Recognition, Object Detection/Classification, etc.)",Face Recognitio ,Teknologi Informasi dan Komunikasi,3,Jurnal,0 (Belum Ada),0 (Belum Ada),Institusi atau Universitas,
3/28/2020 7:01:31,Dosen / Peneliti Perguruan Tinggi,,Telkom University,2-5 Tahun,"Speech Processing & NLP (Language Translation, Smart Speaker, Chatbot / Conversational Agent, Sentiment Analysis, E-Commerce Search, etc.)","NLP, text deep learning","Ilmu Sosial, Politik, Agama",2,,0 (Belum Ada),0 (Belum Ada),,
3/28/2020 7:47:29,Dosen / Peneliti Perguruan Tinggi,,Telkom University,Kurang dari 1 Tahun,"Speech Processing & NLP (Language Translation, Smart Speaker, Chatbot / Conversational Agent, Sentiment Analysis, E-Commerce Search, etc.), Arsitektur AI (GANs, Reinforcement Learning, Federated Learning, Capsule Networks, etc.)",Transfer learning pada Reinforcement Learning,Teknologi Informasi dan Komunikasi,2,"Konferensi, Jurnal",0 (Belum Ada),0 (Belum Ada),Institusi atau Universitas,
3/28/2020 9:45:02,Dosen / Peneliti Perguruan Tinggi,,Telkom University,2-5 Tahun,"Speech Processing & NLP (Language Translation, Smart Speaker, Chatbot / Conversational Agent, Sentiment Analysis, E-Commerce Search, etc.)","information extraction, text mining",Teknologi Informasi dan Komunikasi,11-20,"Konferensi, Jurnal",0 (Belum Ada),0 (Belum Ada),Institusi atau Universitas,
3/28/2020 10:50:47,Dosen / Peneliti Perguruan Tinggi,,Bandung Institute of Technology,Lebih dari 5 Tahun,"Computer Vision (Facial Recognition, Medical Imaging, Autonomous Navigation, Crop Monitoring, License Plate Recognition, Object Detection/Classification, etc.)","ALPR, Face Detection & Recognition, Unmanned Store","Teknologi Informasi dan Komunikasi, Pangan dan Kesehatan, Pertahanan Keamanan, Seni dan Budaya",0,Teknologi,Lebih dari 3,1,"Perusahaan Dalam Negeri, Venture Capital",
3/28/2020 10:51:33,Mahasiswa,S3 - Disertasi,Hong Kong University of Science and Technology,2-5 Tahun,"Speech Processing & NLP (Language Translation, Smart Speaker, Chatbot / Conversational Agent, Sentiment Analysis, E-Commerce Search, etc.), Arsitektur AI (GANs, Reinforcement Learning, Federated Learning, Capsule Networks, etc.)","Speech Recognition, Multilingual, Code-Switching",Teknologi Informasi dan Komunikasi,Lebih dari 20,Konferensi,0 (Belum Ada),0 (Belum Ada),"Institusi atau Universitas, Institusi/Lembaga/Perusahaan Luar Negeri",Terima kasih untuk acaranya. Saya tertarik jika slide decks dari presentasi hari ini bisa dishare.
3/28/2020 10:52:47,Mahasiswa,S3 - Disertasi,Gadjah Mada University,1-2 Tahun,"Speech Processing & NLP (Language Translation, Smart Speaker, Chatbot / Conversational Agent, Sentiment Analysis, E-Commerce Search, etc.)",Sentiment Analysis,Teknologi Informasi dan Komunikasi,3,"Konferensi, Jurnal",0 (Belum Ada),1,Institusi atau Universitas,
3/28/2020 10:54:50,Dosen / Peneliti Perguruan Tinggi,,Bandung Institute of Technology,Kurang dari 1 Tahun,"Computer Vision (Facial Recognition, Medical Imaging, Autonomous Navigation, Crop Monitoring, License Plate Recognition, Object Detection/Classification, etc.)",Object recognition and tracking,Teknologi Informasi dan Komunikasi,0,,0 (Belum Ada),0 (Belum Ada),,
3/28/2020 10:55:26,Dosen / Peneliti Perguruan Tinggi,,Universitas Islam Riau,Lebih dari 5 Tahun,"Speech Processing & NLP (Language Translation, Smart Speaker, Chatbot / Conversational Agent, Sentiment Analysis, E-Commerce Search, etc.)","Chatbot, Sentiment Analysis, Machine Translation",Teknologi Informasi dan Komunikasi,6-10,"Konferensi, Jurnal",1,1,"Institusi atau Universitas, Institusi/Lembaga/Perusahaan Luar Negeri",
3/28/2020 10:55:40,Profesional,,Bukalapak,Lebih dari 5 Tahun,"Computer Vision (Facial Recognition, Medical Imaging, Autonomous Navigation, Crop Monitoring, License Plate Recognition, Object Detection/Classification, etc.), Speech Processing & NLP (Language Translation, Smart Speaker, Chatbot / Conversational Agent, Sentiment Analysis, E-Commerce Search, etc.), Arsitektur AI (GANs, Reinforcement Learning, Federated Learning, Capsule Networks, etc.)","deep learning, transfer learning, domain adaptation",Teknologi Informasi dan Komunikasi,6-10,"Konferensi, Jurnal",Lebih dari 3,0 (Belum Ada),internal perusahaan,
3/28/2020 11:01:33,Dosen / Peneliti Perguruan Tinggi,,Universitas Trisakti,Lebih dari 5 Tahun,"Speech Processing & NLP (Language Translation, Smart Speaker, Chatbot / Conversational Agent, Sentiment Analysis, E-Commerce Search, etc.), Predictive Intelligence (Predictive Maintenance, Cyber Threat Hunting, Healthcare Biometric, etc.), Arsitektur AI (GANs, Reinforcement Learning, Federated Learning, Capsule Networks, etc.)",Sentiment analysis,"Teknologi Informasi dan Komunikasi, Rekayasa Transportasi dan Energi, Pangan dan Kesehatan",2,Konferensi,0 (Belum Ada),0 (Belum Ada),Institusi atau Universitas,
3/28/2020 11:31:17,Peneliti Lembaga Non Perguruan Tinggi,S2 - Tesis,Badan Pengkajian dan Penerapan Teknologi,Lebih dari 5 Tahun,"Speech Processing & NLP (Language Translation, Smart Speaker, Chatbot / Conversational Agent, Sentiment Analysis, E-Commerce Search, etc.)","Speech Recognition, Speech Synthesis, Machine Translation, dan Face Recognition",Teknologi Informasi dan Komunikasi,6-10,"Konferensi, Jurnal",1,4,Institusi atau Universitas,
3/28/2020 11:44:20,Dosen / Peneliti Perguruan Tinggi,S3 - Disertasi,Telkom University,2-5 Tahun,"Speech Processing & NLP (Language Translation, Smart Speaker, Chatbot / Conversational Agent, Sentiment Analysis, E-Commerce Search, etc.)",Machine Translation on Low Resource Language,Teknologi Informasi dan Komunikasi,4,"Konferensi, Jurnal",0 (Belum Ada),0 (Belum Ada),Institusi atau Universitas,
3/28/2020 17:33:40,Profesional,,PT Irostech Solusi Inteligent,2-5 Tahun,"Computer Vision (Facial Recognition, Medical Imaging, Autonomous Navigation, Crop Monitoring, License Plate Recognition, Object Detection/Classification, etc.)",Robotic - SLAM : for Navigation,"Rekayasa Transportasi dan Energi, Pertahanan Keamanan, Robotics",0,,Lebih dari 3,0 (Belum Ada),"Perusahaan Dalam Negeri, Holding Company",Akan sangat menarik apabila banyak yg bisa disinergikan hasil risetnya terhadap bidang robotika militer dan industri.
3/28/2020 17:40:38,Dosen / Peneliti Perguruan Tinggi,S2 - Tesis,State Polytechnic of Malang,Lebih dari 5 Tahun,"Predictive Intelligence (Predictive Maintenance, Cyber Threat Hunting, Healthcare Biometric, etc.), Arsitektur AI (GANs, Reinforcement Learning, Federated Learning, Capsule Networks, etc.)",Knowledge Growing System ,"Teknologi Informasi dan Komunikasi, Rekayasa Transportasi dan Energi, Pangan dan Kesehatan, Infrastruktur dan Kebencanaan, Pertahanan Keamanan",Lebih dari 20,"Konferensi, Jurnal, Buku, Book Chapter",1,3,"Institusi atau Universitas, Pribadi ",Tingkatkan siklus triple helix agar kemandirian dan penguasaan teknologi AI terakselerasi 
3/28/2020 17:54:41,Dosen / Peneliti Perguruan Tinggi,,Bandung Institute of Technology,1-2 Tahun,"Infrastruktur AI (Hardware, Open Source Frameworks, Syntetic Training Data, Cloud, Edge Computing, etc.)",Hardware Accelerator Using FPGA/Chip,Teknologi Informasi dan Komunikasi,5,Konferensi,1,0 (Belum Ada),"Institusi atau Universitas, Perusahaan Dalam Negeri",
3/28/2020 18:02:48,Dosen / Peneliti Perguruan Tinggi,,Bandung Institute of Technology,Lebih dari 5 Tahun,"Computer Vision (Facial Recognition, Medical Imaging, Autonomous Navigation, Crop Monitoring, License Plate Recognition, Object Detection/Classification, etc.), Speech Processing & NLP (Language Translation, Smart Speaker, Chatbot / Conversational Agent, Sentiment Analysis, E-Commerce Search, etc.)","Pattern recognition, prediction, hybrid method etc","Pangan dan Kesehatan, Astronomi dan Basic Science, Earth Science / Kebumian",11-20,"Konferensi, Jurnal",2,0 (Belum Ada),"Institusi atau Universitas, Institusi/Lembaga/Perusahaan Luar Negeri",
3/28/2020 18:23:21,Dosen / Peneliti Perguruan Tinggi,,Bandung Institute of Technology,Lebih dari 5 Tahun,"Computer Vision (Facial Recognition, Medical Imaging, Autonomous Navigation, Crop Monitoring, License Plate Recognition, Object Detection/Classification, etc.), Arsitektur AI (GANs, Reinforcement Learning, Federated Learning, Capsule Networks, etc.), Infrastruktur AI (Hardware, Open Source Frameworks, Syntetic Training Data, Cloud, Edge Computing, etc.)","Face recognition, ALPR, unmanned store, robotics, self driving car","Teknologi Informasi dan Komunikasi, Rekayasa Transportasi dan Energi",Lebih dari 20,"Konferensi, Jurnal",Lebih dari 3,2,"Institusi atau Universitas, Perusahaan Dalam Negeri",
3/28/2020 19:15:19,Peneliti Lembaga Non Perguruan Tinggi,,BPPT,Lebih dari 5 Tahun,"Computer Vision (Facial Recognition, Medical Imaging, Autonomous Navigation, Crop Monitoring, License Plate Recognition, Object Detection/Classification, etc.), Speech Processing & NLP (Language Translation, Smart Speaker, Chatbot / Conversational Agent, Sentiment Analysis, E-Commerce Search, etc.), Predictive Intelligence (Predictive Maintenance, Cyber Threat Hunting, Healthcare Biometric, etc.)","pattern recognition & computer vision ( biometrics, character recognition, bioinformatcis, neural networks, medical image processing )",Teknologi Informasi dan Komunikasi,Lebih dari 20,"Konferensi, Jurnal, Buku, Book Chapter",Lebih dari 3,0 (Belum Ada),,
3/28/2020 20:05:29,Dosen / Peneliti Perguruan Tinggi,,Telkom University,Lebih dari 5 Tahun,"Computer Vision (Facial Recognition, Medical Imaging, Autonomous Navigation, Crop Monitoring, License Plate Recognition, Object Detection/Classification, etc.), Speech Processing & NLP (Language Translation, Smart Speaker, Chatbot / Conversational Agent, Sentiment Analysis, E-Commerce Search, etc.), Recommender systems",Computer vision idrntifikasi tanaman,"Teknologi Informasi dan Komunikasi, Pangan dan Kesehatan",6-10,Konferensi,0 (Belum Ada),0 (Belum Ada),Institusi atau Universitas,
